url	dangerous
https://www.yanbal.com/ec//corporate/	0
https://clmd.pe/P1dxfl	0
https://amazon.com/z/jhlwGskSg	0
https://www.studiof.com.co/sms/tencard-day	0
https://ahnp.vercel.app/intest.html	1
https://chin18.vercel.app/intest.html	1
https://pay.kwid9.iotcybersecurity.xyz/	1
https://www.kp5po.extremebtc.xyz/	1
https://ebp-liart.vercel.app/intest.html	1
https://sberbank.kwid9.multisigbitcoin.xyz/	1
https://voi-voi9.vercel.app/intest.html	1
https://cl.ibk.pe/B1awhwzz	0
https://atl-six.vercel.app/intest.html	1
https://frontend.masivapp.com/sms-gateway/	0
https://tatlizafer.cc/	1
https://www.drogueriascafam.com.co/content/20-seguimiento-a-tu-pedido	0
https://frontend.masivapp.com/sms-gateway/connections	0
https://tala.co/app/pago	0
https://api.whatsapp.com/send?phone	0
https://clmd.pe/P1dxfl	0
https://bit.ly/3WNcjlG	0
https://wme.es/rl	0
https://m-90f18fc1.duosecurity.com/iphone/Os10Uzr68xTPN6pGFVdl	0
https://m-c7e21466.duosecurity.com/activate/l0H7MuIGcfVHvz5oZQX	0
https://torre.ai/one-click-login/fovQQsTxXcTmLmOU4p3sHecJ78Oys9KxwGSMalCSmiDaCBRSG4k5Wi1H2v5YlQanPhppQITQr2XXAKu8tGGrno1cyVxsU2bsTt7UjomU8CIRbLSSztwipbfej2F8JLEZ	0
https://www.spotify.com/co-es/account/subscription/receipt	0
https://cabify.com/404	0
https://clarovw.olimpiait.com/#/redirect/61656761-9976-43ff-b2ae-a662f040ed92;urlType=claro	0
https://www.splitwise.com/i/RgYpwSw9GrG	0
https://tororojobarrel.venndelo.com/order/tracking?master_pin=31473739.e33d	0
https://www.facebook.com/unsupportedbrowser	0
https://esmio.appmikro.com/	0
https://www.naturally-vitamins.com/my/payments/74772?access_token=a51176f2-d7bc-4e41-9347-bf47a70c412c	0
https://didiglobal.onelink.me/ZL5H/en2z0acv	0
https://www.bayportcolombia.com/preguntas-frecuentes	0
https://compraloenlinea.venndelo.com/order/tracking	0
https://d.didiglobal.com/home	0
https://cabify.jotform.com/241984356010858?j=67d4fd2a-ab86-11ef-95b6-7a6cff05b9fb	0
https://app.carpincentro.com/verif-carpinclub/cel/1197/3dad	0
https://logistics.follow.cabify.com/6OYCpjUOrM/sms	0
https://dmstoroutev2.blob.core.windows.net/html/customer-feedback.html	0
https://docplanner.doctoralia.es/api/patientcampaigngateway	0
https://q.didiglobal.com/Zgx2z	0
https://www.aowpq.layerbtc.xyz/	1
https://x1109y34405.adidas-schuhe-outlet.info/	1
https://www.fu1fc.airdroppayment.xyz/	1
https://www.spotv140.com/	1
https://z4gbs.2024purchase-of-property.top/	1
https://airline-tickets-services.top/	1
https://clientflowz.top/	1
https://online-digital-marketing-86923.bond/	1
https://www.aowpq.layerbtc.xyz/	1
https://www.cg4o5.blockchainscoop.xyz/	1
https://www.5qutp.verifywhale.xyz/	1
https://online-gaming-20748.bond/	1
https://www.5vs9r.btcshot.xyz/	1
https://payments-interac-acc.icu/	1
https://www.vpn3.gartenhaeuser-online.de	1
https://tle.bz/0448XtQNJBLSZ	0
https://www.amazonsearch.xyz/	1
https://online-gaming-47385.bond/	1
https://jza23e.xyz/	1
https://online-digital-marketing-14790.bond/	1
https://mail.8724319-coinbase.com/review	1
https://online-gaming-46384.bond/	1
https://www.amazon.dpskmbd.xyz/	1
https://www.ndifg.jetblockchain.xyz/	1
https://www.cardencbd.net/	1
https://c1759d81925.adidas-schuhe-outlet.info/	1
https://saas-onboarding.incodesmile.com/multimedia214/flow/64c0d9e1439a57b156e1e9be	0
https://privacy.consumer.huawei.com/tool	0
https://m.uber.com/go/share?share_token=n2TJlArR	0
https://reclutapropandape.pandape.computrabajo.com/Message/Mobile	0
https://www.whatsapp.com/dl/	0
https://wa.me/	0
https://serviparkinglavirgen.com	0
http://x.urlcs.co/	0
https://compraloenlinea.venndelo.com/order/tracking?master_pin=31473761.31d4	0
https://revolut.me/p/F35JeZfkOo	0
https://t.uber.com/u_doc	0
https://compraloenlinea.venndelo.com/order/tracking?master_pin=31473782.adc2	0
https://nhub-bk.csptools1.ibm.com/ibm-notification-hub/snip/FvvClc	0
https://vendas.dev.gigafibra.co/v?id=	0
https://www.amazon.com/a/c/r/PxaqAlwnbJgCfsoEFxt0Nm1fg	0
https://cointrase.gotien.com/m/preoperacional/create	0
https://vmviafirma.une.com.co/documents-web/password_reset	0
https://www.revolut.com/get	0
https://pwa.mia-assistance.com/100035-3/CO/es/	0
https://finescover.com/pyf/9786d	0
https://admiralmarkets.com/dashboard/deposit	0
https://ibmsf.my.salesforce.com/lightning/r/case/500Ke000005g53f/view	0
https://wa.link/zt7gcw	0
https://www.cignahealthbenefits.com/microsites/settlement?date=2024-11-26	0
http://www.google.com/	0
https://creditos.avanzo.co/	0
https://www.uugt9.primarybtc.xyz/	1
https://online-degrees-71147.bond/	1
https://ihpost.47843744.xyz/oew28hg9/7gbxlx	1
https://online-advertising-30376.bond/	1
https://adg.mtokenverifyy.info/	1
https://google-bate.top/	1
http://outlook365-online-login.com/	1
https://authentificcate-google.com/	1
https://www.wslq2.walletjournal.xyz/	1
https://english-classes-online-87081.bond/	1
https://app.triidy.com/r	0
https://kiwi.com	0
https://www.thecolvinco.com/es/floristeria-domicilio/coleccion-navidad	0
https://www.msvitamins.co/my/orders/236950?access_token=e57818b9-38e8-455e-b008-f7fae162b14c	0
https://tinder.com	0
https://mail.google.com/mail/u/0/	0
https://www.sistemasaberes.com/	0
https://triidy.info/guia.aspx?id	0
https://www.netflix.com/	0
https://www.idrive.com/	0
https://www.temu.com/	0
https://dmstoroutev2.blob.core.windows.net/html/customer-feedback.html	0
https://prensarank.com/	0
https://support.link.com/sms-opt-out	0
